
 
 Printing node data
 
 Index 	 Node.x 	 Node.y 	 Node.z 
 371 	 1.341148 	 -7.500587 	 25.400001 
 372 	 2.007634 	 -7.350524 	 25.400001 
 373 	 2.657777 	 -7.140674 	 25.400001 
 374 	 3.286770 	 -6.874047 	 25.400001 
 375 	 3.889456 	 -6.552344 	 25.400001 
 376 	 4.460456 	 -6.177270 	 25.400001 
 377 	 4.995880 	 -5.752955 	 25.400001 
 378 	 5.491394 	 -5.282646 	 25.400001 
 379 	 5.942140 	 -4.769274 	 25.400001 
 380 	 6.345344 	 -4.217777 	 25.400001 
 381 	 6.698049 	 -3.632693 	 25.400001 
 382 	 6.996404 	 -3.018114 	 25.400001 
 383 	 7.238530 	 -2.379289 	 25.400001 
 384 	 7.422964 	 -1.721485 	 25.400001 
 385 	 7.547036 	 -1.049675 	 25.400001 
 386 	 7.609403 	 -0.369357 	 25.400001 
 387 	 7.611664 	 0.313809 	 25.400001 
 388 	 7.554808 	 0.994611 	 25.400001 
 389 	 7.379261 	 1.891208 	 25.400001 
 390 	 7.100897 	 2.761389 	 25.400001 
 391 	 6.720286 	 3.591954 	 25.400001 
 392 	 6.240579 	 4.369503 	 25.400001 
 393 	 5.673215 	 5.085604 	 25.400001 
 394 	 5.024412 	 5.728843 	 25.400001 
 395 	 4.301884 	 6.288001 	 25.400001 
 396 	 3.518725 	 6.758495 	 25.400001 
 397 	 2.684673 	 7.131398 	 25.400001 
 398 	 1.810708 	 7.397646 	 25.400001 
 399 	 2.522756 	 20.924255 	 7.620000 
 400 	 5.010186 	 20.474945 	 7.620000 
 401 	 7.425868 	 19.730864 	 7.620000 
 402 	 9.731919 	 18.695822 	 7.620000 
 403 	 11.901069 	 17.398143 	 7.620000 
 404 	 13.899769 	 15.850766 	 7.620000 
 405 	 15.694456 	 14.070798 	 7.620000 
 406 	 17.267837 	 12.092503 	 7.620000 
 407 	 18.591911 	 9.939363 	 7.620000 
 408 	 19.637835 	 7.638226 	 7.620000 
 409 	 20.408310 	 5.230832 	 7.620000 
 410 	 20.901641 	 2.751760 	 7.620000 
